Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
South Africa,ZAF,1980,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,85.3461990356445
South Africa,ZAF,2021,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,89.3661193847656
South Africa,ZAF,2019,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,94.5331726074219
South Africa,ZAF,2017,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,86.4586334228516
South Africa,ZAF,2015,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,93.4080276489258
South Africa,ZAF,2014,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,93.0730590820312
South Africa,ZAF,2012,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,92.5862503051758
South Africa,ZAF,2011,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,92.0478897094727
South Africa,ZAF,2010,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,91.7139892578125
South Africa,ZAF,2009,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,91.7681579589844
South Africa,ZAF,2007,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,87.043098449707
South Africa,ZAF,1996,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,80.9286270141602
South Africa,ZAF,1980,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,74.8071899414062
South Africa,ZAF,2021,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,90.6758575439453
South Africa,ZAF,2019,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,95.5453720092773
South Africa,ZAF,2017,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,87.6777496337891
South Africa,ZAF,2015,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,95.3965301513672
South Africa,ZAF,2014,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,95.2868499755859
South Africa,ZAF,2012,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,94.9637222290039
South Africa,ZAF,2011,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,94.2450866699219
South Africa,ZAF,2010,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,94.1438522338867
South Africa,ZAF,2009,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,94.1214599609375
South Africa,ZAF,2007,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,90.7175903320312
South Africa,ZAF,1996,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,84.0713806152344
South Africa,ZAF,1980,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,77.5255966186523
South Africa,ZAF,2020,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.959590017795563
South Africa,ZAF,2019,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.965240001678467
South Africa,ZAF,2018,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.961589992046356
South Africa,ZAF,2017,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.966669976711273
South Africa,ZAF,2016,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.968039989471436
South Africa,ZAF,2015,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.933380007743835
South Africa,ZAF,2014,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.961239993572235
South Africa,ZAF,2013,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.957830011844635
South Africa,ZAF,2012,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.9582399725914
South Africa,ZAF,2011,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.959550023078918
South Africa,ZAF,2010,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.961709976196289
South Africa,ZAF,2009,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.965659976005554
South Africa,ZAF,2008,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.969330012798309
South Africa,ZAF,2007,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.969640016555786
South Africa,ZAF,2006,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.964990019798279
South Africa,ZAF,2005,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.966229975223541
South Africa,ZAF,2004,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.966229975223541
South Africa,ZAF,2003,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.970459997653961
South Africa,ZAF,2002,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.973479986190796
South Africa,ZAF,2001,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.97136002779007
South Africa,ZAF,2000,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.958949983119965
South Africa,ZAF,1999,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.979179978370667
South Africa,ZAF,1998,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.982609987258911
South Africa,ZAF,1997,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.982400000095367
South Africa,ZAF,1995,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.991509974002838
South Africa,ZAF,1994,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.977739989757538
South Africa,ZAF,1991,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00082004070282
South Africa,ZAF,1990,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00240004062653
South Africa,ZAF,1989,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00327003002167
South Africa,ZAF,1988,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.991270005702972
South Africa,ZAF,1987,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.991400003433228
South Africa,ZAF,1986,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.992160022258759
South Africa,ZAF,1970,"School enrollment, primary (gross), gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.989040017127991
South Africa,ZAF,2020,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00926995277405
South Africa,ZAF,2019,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00258004665375
South Africa,ZAF,2018,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00301003456116
South Africa,ZAF,2017,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01267004013062
South Africa,ZAF,2016,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01780998706818
South Africa,ZAF,2015,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.955309987068176
South Africa,ZAF,2014,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01610994338989
South Africa,ZAF,2013,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01515007019043
South Africa,ZAF,2012,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.998199999332428
South Africa,ZAF,2011,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,0.998080015182495
South Africa,ZAF,2010,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00054001808167
South Africa,ZAF,2009,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00113999843597
South Africa,ZAF,2008,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00006997585297
South Africa,ZAF,2007,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00362002849579
South Africa,ZAF,2006,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00494003295898
South Africa,ZAF,2005,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00670003890991
South Africa,ZAF,2004,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0083099603653
South Africa,ZAF,2003,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.00902998447418
South Africa,ZAF,2002,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0132999420166
South Africa,ZAF,2001,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01854002475739
South Africa,ZAF,2000,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.01216995716095
South Africa,ZAF,1999,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0314199924469
South Africa,ZAF,1998,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.0359799861908
South Africa,ZAF,1994,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.03219997882843
South Africa,ZAF,1991,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.05122005939484
South Africa,ZAF,1990,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.04732000827789
South Africa,ZAF,1989,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,1.04036998748779
South Africa,ZAF,2020,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.08913004398346
South Africa,ZAF,2019,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.06217002868652
South Africa,ZAF,2018,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.07071995735168
South Africa,ZAF,2017,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.08571004867554
South Africa,ZAF,2016,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.09534001350403
South Africa,ZAF,2015,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.987519979476929
South Africa,ZAF,2014,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.09686005115509
South Africa,ZAF,2013,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.06877601146698
South Africa,ZAF,2012,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.05899000167847
South Africa,ZAF,2011,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.05729997158051
South Africa,ZAF,2010,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.06172001361847
South Africa,ZAF,2009,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.05764997005463
South Africa,ZAF,2008,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.0495799779892
South Africa,ZAF,2007,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.05745995044708
South Africa,ZAF,2006,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.06858003139496
South Africa,ZAF,2005,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.07361996173859
South Africa,ZAF,2004,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.08045995235443
South Africa,ZAF,2003,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.07748997211456
South Africa,ZAF,2002,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.08568000793457
South Africa,ZAF,2001,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.10672998428345
South Africa,ZAF,2000,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.11574995517731
South Africa,ZAF,1999,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.13730001449585
South Africa,ZAF,1998,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.14505004882813
South Africa,ZAF,1994,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.16633999347687
South Africa,ZAF,1991,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.18907999992371
South Africa,ZAF,1990,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.17411994934082
South Africa,ZAF,1989,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,1.14988994598389
South Africa,ZAF,2021,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.38713002204895
South Africa,ZAF,2020,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.36945998668671
South Africa,ZAF,2019,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.33575999736786
South Africa,ZAF,2018,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.32193994522095
South Africa,ZAF,2017,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.30654001235962
South Africa,ZAF,2016,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.30541002750397
South Africa,ZAF,2015,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.30209004878998
South Africa,ZAF,2014,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.2974499464035
South Africa,ZAF,2013,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.29782998561859
South Africa,ZAF,2012,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,1.29364001750946
South Africa,ZAF,1994,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.925679981708527
South Africa,ZAF,1993,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.865339994430542
South Africa,ZAF,1992,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.877120018005371
South Africa,ZAF,1991,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.841080009937286
South Africa,ZAF,1990,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.790910005569458
South Africa,ZAF,1989,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.832499980926514
South Africa,ZAF,1988,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,0.817589998245239
South Africa,ZAF,2020,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,17.6966991424561
South Africa,ZAF,2019,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,17.9253997802734
South Africa,ZAF,2018,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,17.7050399780273
South Africa,ZAF,2017,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.4955196380615
South Africa,ZAF,2016,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.2145404815674
South Africa,ZAF,2015,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.7390308380127
South Africa,ZAF,2014,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.9786701202393
South Africa,ZAF,2013,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.5010509490967
South Africa,ZAF,2012,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.9204292297363
South Africa,ZAF,2011,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.7984409332275
South Africa,ZAF,2010,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,18.6073894500732
South Africa,ZAF,1999,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,5.25450992584229
South Africa,ZAF,1998,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,23.9305896759033
South Africa,ZAF,1996,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,31.5789909362793
South Africa,ZAF,1994,"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE,26.6720104217529
South Africa,ZAF,2020,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,17.3995895385742
South Africa,ZAF,2019,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,17.7595291137695
South Africa,ZAF,2018,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,17.5553302764893
South Africa,ZAF,2017,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.4043598175049
South Africa,ZAF,2016,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.1733207702637
South Africa,ZAF,2015,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.653980255127
South Africa,ZAF,2014,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.7111892700195
South Africa,ZAF,2013,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.1744899749756
South Africa,ZAF,2012,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.723180770874
South Africa,ZAF,2011,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.5370292663574
South Africa,ZAF,2010,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,18.4021396636963
South Africa,ZAF,1999,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,5.17037010192871
South Africa,ZAF,1998,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,23.9993896484375
South Africa,ZAF,1996,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,30.4369602203369
South Africa,ZAF,1994,"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA,26.4280300140381
South Africa,ZAF,2021,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,98.6489562988281
South Africa,ZAF,2020,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,97.5960311889648
South Africa,ZAF,2019,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,98.8295974731445
South Africa,ZAF,2018,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,99.2211227416992
South Africa,ZAF,2016,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,96.9955062866211
South Africa,ZAF,2015,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,96.1811294555664
South Africa,ZAF,2004,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,86.7293167114258
South Africa,ZAF,2003,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,81.9762573242188
South Africa,ZAF,2002,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,78.5274124145508
South Africa,ZAF,2000,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,74.3830184936523
South Africa,ZAF,1999,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,77.0991287231445
South Africa,ZAF,1998,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,83.8993072509766
South Africa,ZAF,1991,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,94.8227310180664
South Africa,ZAF,2021,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,95.4342803955078
South Africa,ZAF,2020,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,93.4360504150391
South Africa,ZAF,2019,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,94.5190124511719
South Africa,ZAF,2018,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,93.6630401611328
South Africa,ZAF,2016,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,93.0487213134766
South Africa,ZAF,2015,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,96.1133728027344
South Africa,ZAF,2004,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,85.9825210571289
South Africa,ZAF,2003,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,78.3485107421875
South Africa,ZAF,2002,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,74.1759185791016
South Africa,ZAF,2000,"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,72.030143737793
